0,0,Depth First Search,30,659
0,0,Random Walk,30,313
0,0,Euclidean,30,659
0,1,Depth First Search,31,146
0,1,Random Walk,31,582
0,1,Euclidean,31,146
0,2,Depth First Search,23,318
0,2,Random Walk,23,248
0,2,Euclidean,23,318
0,3,Depth First Search,29,996
0,3,Random Walk,29,642
0,3,Euclidean,29,996
0,4,Depth First Search,24,963
0,4,Random Walk,24,163
0,4,Euclidean,24,963
0,5,Depth First Search,46,1089
0,5,Random Walk,46,687
0,5,Euclidean,46,1089
0,6,Depth First Search,72,801
0,6,Random Walk,72,427
0,6,Euclidean,72,801
0,7,Depth First Search,16,601
0,7,Random Walk,16,633
0,7,Euclidean,16,601
0,8,Depth First Search,23,46
0,8,Random Walk,23,1116
0,8,Euclidean,23,46
0,9,Depth First Search,37,938
0,9,Random Walk,37,560
0,9,Euclidean,37,938
1,0,Depth First Search,4,3
1,0,Random Walk,4,3
1,0,Euclidean,4,3
1,1,Depth First Search,54,357
1,1,Random Walk,54,725
1,1,Euclidean,54,357
1,2,Depth First Search,39,152
1,2,Random Walk,39,456
1,2,Euclidean,39,152
1,3,Depth First Search,32,1135
1,3,Random Walk,32,223
1,3,Euclidean,32,1135
1,4,Depth First Search,82,277
1,4,Random Walk,82,717
1,4,Euclidean,82,277
1,5,Depth First Search,69,256
1,5,Random Walk,69,482
1,5,Euclidean,69,256
1,6,Depth First Search,38,589
1,6,Random Walk,38,233
1,6,Euclidean,38,589
1,7,Depth First Search,32,865
1,7,Random Walk,32,1091
1,7,Euclidean,32,865
1,8,Depth First Search,49,420
1,8,Random Walk,49,766
1,8,Euclidean,49,420
1,9,Depth First Search,29,142
1,9,Random Walk,29,516
1,9,Euclidean,29,142
2,0,Depth First Search,42,827
2,0,Random Walk,42,935
2,0,Euclidean,42,827
2,1,Depth First Search,5,1020
2,1,Random Walk,5,1016
2,1,Euclidean,5,1020
2,2,Depth First Search,36,393
2,2,Random Walk,36,815
2,2,Euclidean,36,393
2,3,Depth First Search,46,575
2,3,Random Walk,46,499
2,3,Euclidean,46,575
2,4,Depth First Search,59,606
2,4,Random Walk,59,322
2,4,Euclidean,59,606
2,5,Depth First Search,17,848
2,5,Random Walk,17,36
2,5,Euclidean,17,848
2,6,Depth First Search,34,103
2,6,Random Walk,34,141
2,6,Euclidean,34,103
2,7,Depth First Search,1,0
2,7,Random Walk,1,0
2,7,Euclidean,1,0
2,8,Depth First Search,25,1062
2,8,Random Walk,25,724
2,8,Euclidean,25,1062
2,9,Depth First Search,39,336
2,9,Random Walk,39,366
2,9,Euclidean,39,336
3,0,Depth First Search,38,1091
3,0,Random Walk,38,73
3,0,Euclidean,38,1091
3,1,Depth First Search,31,924
3,1,Random Walk,31,254
3,1,Euclidean,31,924
3,2,Depth First Search,76,863
3,2,Random Walk,76,641
3,2,Euclidean,76,863
3,3,Depth First Search,69,552
3,3,Random Walk,69,388
3,3,Euclidean,69,552
3,4,Depth First Search,16,607
3,4,Random Walk,16,385
3,4,Euclidean,16,607
3,5,Depth First Search,26,1211
3,5,Random Walk,26,631
3,5,Euclidean,26,1211
3,6,Depth First Search,31,254
3,6,Random Walk,31,856
3,6,Euclidean,31,254
3,7,Depth First Search,37,578
3,7,Random Walk,37,714
3,7,Euclidean,37,578
3,8,Depth First Search,16,667
3,8,Random Walk,16,503
3,8,Euclidean,16,667
3,9,Depth First Search,52,491
3,9,Random Walk,52,903
3,9,Euclidean,52,491
4,0,Depth First Search,29,684
4,0,Random Walk,29,170
4,0,Euclidean,29,684
4,1,Depth First Search,23,892
4,1,Random Walk,23,60
4,1,Euclidean,23,892
4,2,Depth First Search,22,1097
4,2,Random Walk,22,593
4,2,Euclidean,22,1097
4,3,Depth First Search,41,834
4,3,Random Walk,41,958
4,3,Euclidean,41,834
4,4,Depth First Search,50,1097
4,4,Random Walk,50,553
4,4,Euclidean,50,1097
4,5,Depth First Search,19,290
4,5,Random Walk,19,1200
4,5,Euclidean,19,290
4,6,Depth First Search,32,737
4,6,Random Walk,32,543
